name,data_type,is_nullable,description
school_id_giga,string,false,
cellular_coverage_availability,string,false,
cellular_coverage_type,string,false,
fiber_node_distance,float,true,
microwave_node_distance,float,true,
schools_within_1km,integer,true,
schools_within_2km,integer,true,
schools_within_3km,integer,true,
nearest_LTE_distance,float,true,
nearest_UMTS_distance,float,true,
nearest_GSM_distance,float,true,
pop_within_1km,integer,true,
pop_within_2km,integer,true,
pop_within_3km,integer,true,
pop_within_10km,integer,true,
nearest_school_distance,float,true,
schools_within_10km,integer,true,
nearest_LTE_id,string,true,
nearest_UMTS_id,string,true,
nearest_GSM_id,string,true,
