name,data_type,is_nullable,description
school_id_giga,string,false,
school_id_gov,string,false,
school_name,string,false,
school_establishment_year,integer,true,
latitude,float,false,
longitude,float,false,
education_level,string,false,
education_level_govt,string,false,
connectivity_govt,string,true,
connectivity_govt_ingestion_timestamp,timestamp,true,
connectivity_govt_collection_year,integer,true,
download_speed_govt,float,true,
download_speed_contracted,float,true,
connectivity_type_govt,string,true,
admin1,string,true,
admin2,string,true,
school_area_type,string,true,
school_funding_type,string,true,
num_computers,integer,true,
num_computers_desired,integer,true,
num_teachers,integer,true,
num_adm_personnel,integer,true,
num_students,integer,true,
num_classrooms,integer,true,
num_latrines,integer,true,
computer_lab,string,true,
electricity_availability,string,true,
electricity_type,string,true,
water_availability,string,true,
school_data_source,string,true,
school_data_collection_year,integer,true,
school_data_collection_modality,string,true,
school_id_gov_type,string,false,
school_address,string,true,
is_school_open,string,true,
school_location_ingestion_timestamp,timestamp,true,
