name,data_type,is_nullable,description
cellular_coverage_availability,string,true,
cellular_coverage_type,string,true,
fiber_node_distance,float,true,
microwave_node_distance,float,true,
schools_within_1km,integer,true,
schools_within_2km,integer,true,
schools_within_3km,integer,true,
nearest_LTE_distance,float,true,
nearest_UMTS_distance,float,true,
nearest_GSM_distance,float,true,
pop_within_1km,integer,true,
pop_within_2km,integer,true,
pop_within_3km,integer,true,
connectivity_govt_collection_year,integer,true,
connectivity_govt,string,true,
school_id_giga,string,false,
school_id_gov,string,false,
school_name,string,false,
school_establishment_year,integer,true,
latitude,float,false,
longitude,float,false,
education_level,string,false,
download_speed_contracted,float,true,
connectivity_type_govt,string,true,
admin1,string,true,
admin1_id_giga,string,true,
admin2,string,true,
admin2_id_giga,string,true,
school_area_type,string,true,
school_funding_type,string,true,
num_computers,integer,true,
num_computers_desired,integer,true,
num_teachers,integer,true,
num_adm_personnel,integer,true,
num_students,integer,true,
num_classrooms,integer,true,
num_latrines,integer,true,
computer_lab,string,true,
electricity_availability,string,true,
electricity_type,string,true,
water_availability,string,true,
school_data_source,string,true,
school_data_collection_year,integer,true,
school_data_collection_modality,string,true,
connectivity_govt_ingestion_timestamp,timestamp,true,
school_location_ingestion_timestamp,timestamp,true,
disputed_region,string,true,
connectivity,string,true,
connectivity_RT,string,true,
connectivity_RT_datasource,string,true,
connectivity_RT_ingestion_timestamp,timestamp,true,
